t (s),V (mV)
0,13.473
0.974,13.443
1.912,13.4151
2.85,13.3848
3.821,13.353
4.801,13.3204
5.801,13.2896
6.801,13.2581
7.801,13.2271
8.8,13.1958
9.8,13.1631
10.801,13.1315
11.801,13.1013
12.801,13.0682
13.801,13.0349
14.801,13.0041
15.801,12.9725
16.801,12.9406
17.8,12.9089
18.801,12.8781
19.801,12.8465
20.801,12.8161
21.801,12.7843
22.801,12.754
23.801,12.7234
24.801,12.6932
25.8,12.6647
26.801,12.634
27.801,12.6033
28.801,12.5737
29.801,12.5433
30.8,12.5141
31.801,12.4838
32.801,12.4542
33.8,12.4249
34.801,12.3949
35.801,12.3667
36.8,12.3386
37.801,12.309
38.801,12.2796
39.801,12.2486
40.8,12.2183
41.801,12.1894
42.801,12.1615
43.801,12.134
44.801,12.1048
45.801,12.0758
46.8,12.0489
47.801,12.0199
48.801,11.9902
49.801,11.9618
50.801,11.9342
51.801,11.9057
52.802,11.8763
53.801,11.8499
54.801,11.8214
55.801,11.7933
56.801,11.7668
57.8,11.7384
58.801,11.7109
59.801,11.6825
60.801,11.6559
61.801,11.6293
62.801,11.6014
63.801,11.5732
64.801,11.5473
65.801,11.5197
66.801,11.4924
67.801,11.4643
68.801,11.4379
69.8,11.4111
70.801,11.3838
71.801,11.3566
72.801,11.33
73.801,11.3036
74.801,11.2769
75.801,11.25
76.801,11.2248
77.801,11.1973
78.803,11.1699
79.801,11.1455
80.801,11.1189
81.8,11.0937
82.8,11.0663
83.801,11.041
84.801,11.0153
85.801,10.9883
86.801,10.9627
87.801,10.9361
88.801,10.9103
89.801,10.8847
90.801,10.8588
91.801,10.8334
92.801,10.8066
93.801,10.7826
94.801,10.7573
95.801,10.7314
96.801,10.7062
97.8,10.6811
98.801,10.6545
99.801,10.6302
100.801,10.6051
101.8,10.582
102.8,10.5563
103.799,10.5314
104.8,10.5066
105.8,10.4814
106.8,10.4575
107.8,10.4326
108.8,10.4073
109.799,10.3836
110.8,10.3586
111.799,10.3346
112.8,10.3109
113.8,10.2862
114.8,10.2611
115.8,10.237
116.8,10.2142
117.8,10.1894
118.8,10.1658
119.8,10.1425
120.8,10.1181
121.8,10.094
122.8,10.0701
123.8,10.0466
124.8,10.0231
125.801,9.9991
126.8,9.9762
127.801,9.9516
128.801,9.9298
129.801,9.9065
130.801,9.8844
131.801,9.8609
132.801,9.8379
133.801,9.8156
134.801,9.7926
135.801,9.77
136.801,9.747
137.8,9.7242
138.801,9.702
139.801,9.679
140.801,9.6556
141.801,9.6329
142.801,9.6106
143.801,9.5888
144.801,9.5652
145.801,9.5441
146.801,9.5212
147.801,9.4977
148.801,9.4751
149.801,9.4542
150.801,9.4314
151.801,9.4091
152.801,9.3877
153.801,9.3669
154.801,9.3444
155.801,9.3231
156.801,9.3009
157.801,9.28
158.801,9.2582
159.801,9.2362
160.8,9.2146
161.801,9.1936
162.801,9.1725
163.801,9.151
164.801,9.13
165.8,9.1088
166.801,9.0891
167.801,9.0678
168.801,9.0473
169.801,9.0262
170.801,9.0047
171.801,8.982
172.801,8.9627
173.801,8.9337
174.801,8.9215
175.801,8.9023
176.801,8.8822
177.801,8.8615
178.802,8.8415
179.801,8.8209
180.801,8.8001
181.801,8.7807
182.801,8.7606
183.801,8.7397
184.801,8.7196
185.801,8.6992
186.801,8.68
187.801,8.6606
188.801,8.6407
189.801,8.6199
190.801,8.6002
191.8,8.5806
192.801,8.5619
193.801,8.5414
194.801,8.5225
195.801,8.5025
196.801,8.4829
197.801,8.4653
198.801,8.4455
199.801,8.4264
200.801,8.4069
201.8,8.3875
202.801,8.3689
203.801,8.3491
204.8,8.3306
205.801,8.3119
206.801,8.2932
207.801,8.2736
208.801,8.2555
209.801,8.2358
210.801,8.2168
211.801,8.1986
212.801,8.1793
213.801,8.1604
214.801,8.1429
215.801,8.1238
216.801,8.1049
217.801,8.0868
218.801,8.0687
219.801,8.0504
220.801,8.0328
221.801,8.0144
222.801,7.9971
223.801,7.9788
224.801,7.9607
225.801,7.9429
226.8,7.9249
227.801,7.9066
228.801,7.8887
229.801,7.8716
230.801,7.8532
231.801,7.8352
232.801,7.8178
233.801,7.7999
234.801,7.7811
235.801,7.7633
236.801,7.7457
237.801,7.7285
238.801,7.7109
239.801,7.6934
240.801,7.6761
241.801,7.6585
242.802,7.6425
243.801,7.6251
244.801,7.6087
245.801,7.5917
246.801,7.5738
247.801,7.5577
248.801,7.542
249.801,7.5248
250.801,7.5072
251.801,7.4904
252.801,7.4738
253.801,7.457
254.801,7.4413
255.801,7.4259
256.801,7.4092
257.801,7.3921
258.802,7.3763
259.801,7.3596
260.801,7.3432
261.801,7.3265
262.801,7.3097
263.801,7.2932
264.801,7.2777
265.801,7.2604
266.801,7.2451
267.801,7.2285
268.801,7.2121
269.801,7.196
270.801,7.1797
271.801,7.1638
272.802,7.1483
273.8,7.1308
274.801,7.1158
275.801,7.1
276.801,7.0845
277.801,7.0695
