t (s),V (mV)
0,14.2525
1.045,14.2345
2.045,14.2195
3.045,14.203
4.045,14.1857
5.045,14.1701
6.045,14.1541
7.045,14.1372
8.045,14.1198
9.045,14.1043
10.045,14.0874
11.045,14.0708
12.045,14.0539
13.045,14.0381
14.045,14.0213
15.045,14.0037
16.045,13.9873
17.045,13.969
18.045,13.9512
19.045,13.9351
20.045,13.9191
21.044,13.9028
22.045,13.8852
23.045,13.8682
24.045,13.8513
25.045,13.8345
26.045,13.8186
27.045,13.8008
28.045,13.783
29.045,13.7668
30.045,13.7496
31.045,13.7334
32.045,13.7162
33.045,13.7005
34.045,13.6843
35.045,13.6683
36.044,13.6513
37.045,13.6346
38.045,13.6188
39.044,13.6028
40.044,13.5858
41.045,13.5687
42.045,13.5532
43.044,13.536
44.045,13.5202
45.045,13.5031
46.044,13.4868
47.045,13.4698
48.045,13.4532
49.044,13.4376
50.045,13.4214
51.045,13.4046
52.045,13.3892
53.045,13.3713
54.045,13.3548
55.044,13.339
56.045,13.3227
57.045,13.3084
58.045,13.2914
59.045,13.2759
60.045,13.2604
61.045,13.2439
62.045,13.2275
63.045,13.2115
64.045,13.1955
65.045,13.1793
66.045,13.1637
67.044,13.1485
68.045,13.1328
69.045,13.1167
70.045,13.1008
71.045,13.0846
72.045,13.0707
73.045,13.0537
74.045,13.0383
75.044,13.0222
76.045,13.0067
77.045,12.991
78.045,12.9754
79.045,12.9592
80.045,12.9441
81.045,12.928
82.045,12.9124
83.045,12.8974
84.044,12.8817
85.045,12.8661
86.045,12.8503
87.044,12.8341
88.045,12.8191
89.045,12.804
90.045,12.7887
91.045,12.7745
92.045,12.7597
93.045,12.7443
94.045,12.7295
95.045,12.7141
96.045,12.6992
97.045,12.6847
98.044,12.6694
99.045,12.6548
100.045,12.6401
101.045,12.6238
102.045,12.61
103.045,12.5936
104.045,12.5803
105.045,12.5665
106.045,12.5521
107.045,12.537
108.045,12.5214
109.045,12.5074
110.045,12.4926
111.045,12.4767
112.045,12.4623
113.044,12.4462
114.045,12.4311
115.045,12.4174
116.045,12.4028
117.045,12.3884
118.045,12.3742
119.045,12.3591
120.045,12.3445
121.044,12.329
122.045,12.314
123.045,12.3003
124.044,12.2863
125.045,12.2716
126.045,12.2577
127.045,12.2426
128.045,12.2294
129.045,12.2149
130.045,12.2008
131.045,12.1872
132.045,12.1734
133.045,12.1597
134.045,12.146
135.045,12.1334
136.045,12.1184
137.045,12.1055
138.045,12.0926
139.045,12.0773
140.045,12.0632
141.045,12.0505
142.045,12.0362
143.045,12.0235
144.045,12.008
145.045,11.9943
146.045,11.9797
147.045,11.9655
148.044,11.954
149.045,11.9404
150.044,11.926
151.045,11.9135
152.045,11.8975
153.045,11.8858
154.045,11.8712
155.045,11.8564
156.045,11.8415
157.045,11.8294
158.045,11.8156
159.045,11.8031
160.045,11.7881
161.045,11.7747
162.045,11.7617
163.045,11.7477
164.044,11.733
165.045,11.7201
166.045,11.7057
167.045,11.6906
168.045,11.6767
169.045,11.663
170.044,11.6501
171.045,11.6371
172.044,11.6243
173.045,11.61
174.045,11.5979
175.045,11.5835
176.044,11.5713
177.045,11.5576
178.045,11.5448
179.045,11.5324
180.045,11.5196
181.045,11.5073
182.045,11.4942
183.045,11.4819
184.045,11.4683
185.045,11.4546
186.045,11.441
187.045,11.4273
188.045,11.4127
189.045,11.3988
190.045,11.386
191.045,11.3726
192.045,11.3601
193.045,11.3467
194.045,11.3345
195.045,11.3207
196.045,11.3077
197.045,11.2938
198.045,11.2805
199.045,11.266
200.045,11.2532
201.045,11.2403
202.045,11.2274
203.044,11.214
204.045,11.2014
205.045,11.1885
206.045,11.175
207.045,11.1634
208.045,11.1507
209.045,11.1382
210.045,11.1259
211.045,11.1143
212.045,11.1017
213.045,11.0892
214.044,11.0776
215.045,11.0658
216.045,11.0538
217.045,11.0406
218.045,11.0291
219.045,11.0169
220.045,11.0046
221.044,10.9919
222.045,10.9794
223.045,10.9671
224.044,10.9541
225.045,10.9419
226.045,10.9294
227.045,10.9163
228.044,10.9032
229.045,10.8911
230.045,10.8768
231.045,10.8669
232.045,10.8535
233.045,10.8414
234.045,10.8289
235.045,10.8164
236.044,10.8044
237.045,10.7923
238.045,10.7797
239.045,10.7676
240.045,10.7551
241.045,10.7434
242.045,10.7326
243.045,10.7198
244.044,10.7068
245.045,10.6953
246.045,10.6815
247.045,10.6712
248.045,10.6579
249.045,10.6463
250.045,10.6337
251.045,10.6211
252.044,10.6122
253.044,10.5989
254.044,10.5862
255.044,10.5747
256.043,10.5639
257.044,10.5521
258.044,10.5405
259.044,10.5286
260.044,10.5164
261.044,10.5056
262.043,10.4941
263.044,10.4815
264.044,10.4693
265.044,10.4576
266.043,10.4461
267.044,10.4339
268.044,10.4232
269.044,10.4118
270.044,10.3992
271.044,10.3878
272.044,10.3758
273.043,10.3642
274.044,10.3523
275.044,10.3418
276.044,10.3314
277.044,10.3204
278.043,10.3082
279.044,10.2967
280.043,10.2853
281.044,10.2725
282.044,10.261
283.044,10.2492
284.044,10.2391
285.044,10.2265
286.044,10.2153
287.044,10.205
288.044,10.1928
289.044,10.1813
290.044,10.1698
291.043,10.1594
292.044,10.147
293.044,10.1356
294.044,10.1247
295.043,10.1124
296.044,10.1018
297.044,10.0894
298.044,10.0785
299.044,10.0673
300.044,10.0555
301.044,10.045
302.044,10.0335
303.044,10.0226
304.044,10.0113
305.045,9.9993
306.045,9.988
307.045,9.9771
308.045,9.9666
309.045,9.9557
310.045,9.9458
311.045,9.9353
312.045,9.9241
313.045,9.9128
314.045,9.9006
315.045,9.8899
316.045,9.8788
317.045,9.868
318.045,9.8573
319.045,9.8462
320.045,9.8345
321.045,9.8241
322.045,9.8132
323.045,9.802
324.044,9.79
325.044,9.7795
326.045,9.7685
327.045,9.7574
328.045,9.7466
329.045,9.7358
330.044,9.724
331.045,9.7128
332.045,9.7021
333.045,9.6909
334.045,9.6799
335.045,9.6673
336.045,9.6572
337.045,9.647
338.045,9.6349
339.045,9.6239
340.044,9.6131
341.045,9.6024
342.045,9.5911
343.045,9.5815
344.045,9.5701
345.045,9.5595
346.045,9.5491
347.045,9.5388
348.045,9.5283
349.045,9.5171
350.045,9.5063
351.045,9.4966
352.045,9.486
353.045,9.4767
354.045,9.4662
355.045,9.4562
356.045,9.4455
357.045,9.4355
358.045,9.4251
359.045,9.4144
360.045,9.4041
361.045,9.3937
362.045,9.3838
363.045,9.3733
364.045,9.3629
365.045,9.3531
366.044,9.3429
367.045,9.3323
368.045,9.3209
369.045,9.3117
370.044,9.3024
371.045,9.2917
372.045,9.2812
373.045,9.2706
374.045,9.262
375.045,9.2518
376.045,9.242
377.045,9.2317
378.045,9.2213
379.045,9.2109
380.045,9.2006
381.045,9.1904
382.045,9.1803
383.045,9.1691
384.045,9.159
385.045,9.1493
386.045,9.1396
387.045,9.1275
388.045,9.118
389.045,9.1081
390.045,9.0971
391.045,9.0881
392.045,9.0769
393.045,9.0665
394.045,9.0564
395.045,9.0466
396.045,9.0356
397.045,9.0264
398.045,9.0167
399.045,9.0073
400.045,8.9982
401.045,8.9886
402.045,8.9782
403.045,8.9674
404.045,8.9581
405.045,8.9486
406.045,8.9386
407.045,8.9288
408.045,8.9187
409.045,8.9087
410.045,8.9001
411.045,8.8905
412.045,8.8809
413.045,8.8718
414.045,8.862
415.045,8.8528
416.045,8.8426
417.045,8.8333
418.045,8.8239
419.045,8.8154
420.045,8.8044
421.045,8.7965
422.045,8.7863
423.045,8.7766
