date	COM2.001: TC 110	COM2.001: TC 110	COM2.005: MPT 100	COM2.002: PPT 100
(YYYY-MM-DD hh:mm:ss)	P309: ActualSpd (Hz)	P316: DrvPower (W)	P740: Pressure (mbar)	P740: Pressure (mbar)
2026-03-26, 15:10:54	0 Hz	0 W	5,3E0 mbar	4,7E0 mbar
2026-03-26, 15:10:56	0 Hz	0 W	5,3E0 mbar	4,7E0 mbar
2026-03-26, 15:10:58	0 Hz	0 W	5,2E0 mbar	4,6E0 mbar
2026-03-26, 15:11:02	0 Hz	0 W	5,2E0 mbar	4,6E0 mbar
2026-03-26, 15:11:04	0 Hz	0 W	5,1E0 mbar	4,5E0 mbar
2026-03-26, 15:11:06	0 Hz	0 W	5,1E0 mbar	4,5E0 mbar
2026-03-26, 15:11:08	0 Hz	0 W	5,1E0 mbar	4,5E0 mbar
2026-03-26, 15:11:10	0 Hz	0 W	5E0 mbar	4,4E0 mbar
2026-03-26, 15:11:12	0 Hz	0 W	5E0 mbar	4,4E0 mbar
2026-03-26, 15:11:14	0 Hz	0 W	5E0 mbar	4,4E0 mbar
2026-03-26, 15:11:16	0 Hz	0 W	5E0 mbar	4,3E0 mbar
2026-03-26, 15:11:18	0 Hz	0 W	4,9E0 mbar	4,3E0 mbar
2026-03-26, 15:11:20	0 Hz	0 W	4,9E0 mbar	4,3E0 mbar
2026-03-26, 15:11:22	0 Hz	0 W	4,9E0 mbar	4,2E0 mbar
2026-03-26, 15:11:24	0 Hz	0 W	4,8E0 mbar	4,2E0 mbar
2026-03-26, 15:11:26	0 Hz	0 W	4,8E0 mbar	4,2E0 mbar
2026-03-26, 15:11:28	0 Hz	0 W	4,8E0 mbar	4,2E0 mbar
2026-03-26, 15:11:30	0 Hz	0 W	4,8E0 mbar	4,2E0 mbar
2026-03-26, 15:11:32	0 Hz	0 W	4,8E0 mbar	4,1E0 mbar
2026-03-26, 15:11:34	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2026-03-26, 15:11:36	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2026-03-26, 15:11:38	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2026-03-26, 15:11:40	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2026-03-26, 15:11:42	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2026-03-26, 15:11:44	0 Hz	0 W	4,7E0 mbar	4E0 mbar
2026-03-26, 15:11:46	0 Hz	0 W	4,7E0 mbar	4E0 mbar
2026-03-26, 15:11:48	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2026-03-26, 15:11:50	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2026-03-26, 15:11:52	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2026-03-26, 15:11:54	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2026-03-26, 15:11:56	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2026-03-26, 15:11:58	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2026-03-26, 15:12:00	0 Hz	0 W	4,6E0 mbar	3,9E0 mbar
2026-03-26, 15:12:02	0 Hz	0 W	4,6E0 mbar	3,9E0 mbar
2026-03-26, 15:12:04	0 Hz	0 W	4,6E0 mbar	3,9E0 mbar
2026-03-26, 15:12:06	0 Hz	0 W	4,5E0 mbar	3,9E0 mbar
2026-03-26, 15:12:08	0 Hz	0 W	4,5E0 mbar	3,9E0 mbar
2026-03-26, 15:12:10	0 Hz	0 W	4,5E0 mbar	3,9E0 mbar
2026-03-26, 15:12:12	0 Hz	0 W	4,5E0 mbar	3,9E0 mbar
2026-03-26, 15:12:14	0 Hz	0 W	4,5E0 mbar	3,9E0 mbar
2026-03-26, 15:12:16	0 Hz	0 W	4,5E0 mbar	3,9E0 mbar
2026-03-26, 15:12:18	0 Hz	0 W	4,5E0 mbar	3,9E0 mbar
2026-03-26, 15:12:20	0 Hz	0 W	4,5E0 mbar	3,9E0 mbar
2026-03-26, 15:12:22	0 Hz	0 W	4,5E0 mbar	3,9E0 mbar
2026-03-26, 15:12:24	0 Hz	0 W	4,5E0 mbar	3,9E0 mbar
2026-03-26, 15:12:26	0 Hz	0 W	4,5E0 mbar	3,9E0 mbar
2026-03-26, 15:12:28	0 Hz	0 W	4,5E0 mbar	3,9E0 mbar
2026-03-26, 15:12:30	0 Hz	0 W	4,5E0 mbar	3,9E0 mbar
2026-03-26, 15:12:32	0 Hz	0 W	4,4E0 mbar	3,9E0 mbar
2026-03-26, 15:12:34	0 Hz	0 W	4,4E0 mbar	3,9E0 mbar
2026-03-26, 15:12:36	0 Hz	0 W	4,4E0 mbar	3,9E0 mbar
2026-03-26, 15:12:38	0 Hz	0 W	4,4E0 mbar	3,9E0 mbar
2026-03-26, 15:12:40	0 Hz	0 W	4,4E0 mbar	3,9E0 mbar
2026-03-26, 15:12:42	0 Hz	0 W	4,4E0 mbar	3,9E0 mbar
2026-03-26, 15:12:44	0 Hz	0 W	4,4E0 mbar	3,9E0 mbar
